candidate,full_name,pipeline_stage,mechanism,correctness,quality,kernel_speedup,backward_speedup,forward_speedup,e2e_speedup,scenes,hardware,final_verdict,main_evidence_paths
C1,Depth-key compression (32-bit -> 16-bit),Forward sort / radix passes,Depth key truncated from 32-bit to 16-bit; fewer radix passes expected (12 -> 8 unverified),PROVEN correct (0 inversions; backward unchanged),UNCHANGED (no quality delta),+0.8% RAW measured on RTX 5070 (32.05 -> 31.78 ms @ 58M isects); +9.8% est on A100 sort-isolation (not measured; build failed),n/a,n/a,+0.8% (RTX 5070 measured),room (RTX 5070); room (A100 est),RTX 5070 Laptop; A100 (build FAILED: nvcc 11.5 vs C++17),SPLIT: KEEP-est (A100) / NOT_BENEFICIAL (RTX 5070) / VALIDATION_BLOCKED (A100),_drafts/s4_forward_sort.md
Segmented-sort,Segmented radix sort per segment,Forward sort / segmentation,"Segment-local radix sort to reduce global sort cost; memory/bandwidth savings analyzed",CORRECTNESS not the issue; performance negative,n/a (not quality-gated),sort 2.5x SLOWER on A100 (1.14 -> 2.87 ms),n/a,n/a,-44.7% E2E on A100,room,A100,DROP,_drafts/s4_forward_sort.md
C17-0,Counting-sort + segmented sort (tile-level),Forward sort / segmentation,Combined counting-sort with segmented iteration,Per-pass correctness met; total slower,n/a,n/a,n/a,n/a,-44.7% E2E (with segmented),room,A100,DROP,_drafts/s4_forward_sort.md
C17-1,Tile-local intersection queues,Sort / queues,"Per-tile queue of Gaussian intersections; avoids re-walking tile range for each pixel",CORRECTNESS NOT PASSED (no CUDA build; no benchmark),n/a,+16-26% ESTIMATED from Python screening,unmeasured,unmeasured,UNMEASURED (no benchmark),room,RTX 5070 Laptop,PROMISING_BUT_INCOMPLETE,_drafts/s4_forward_sort.md
C17-2,Cross-tile differential queues (if any),Sort / queues,Differential per-frame update of tile membership,FEASIBILITY ONLY,n/a,n/a,n/a,n/a,n/a,room,RTX 5070 Laptop,CONTINUE_WITH_REDESIGN,_drafts/s4_forward_sort.md
C17-3,Backward metadata cache,Sort / memory,Reuse of metadata from forward; Caching structures between steps,PreMise FALSIFIED (arrays already in L2/registers; already saved),n/a,n/a,n/a,n/a,n/a,room,RTX 5070 Laptop,DROP,_drafts/s4_forward_sort.md
C18,C18 incremental sort reuse,Forward sort / incremental,Re-sort only changed segments; carry over order across steps,ORDER-PRESERVATION 99.86%; NEW-ENTRY RATIO 1.51%,n/a,BENEFIT contingent on low churn; no wall-clock claim made,n/a,n/a,n/a,room,RTX 5070 Laptop,GO -> C18-2 prototype,_drafts/s4_forward_sort.md
C19-0,C19 rasterizer profiling (A100),Profiling,Tile-size/occupancy pre-candidate timing: raster ms per tile size,INSTRUMENTATION only,n/a,tile 8/16/20/24/32 raster ms = 0.977 / 1.172 / 1.249 / 2.409 / 2.862 (A100); ns/int 0.179/0.721/1.110/2.838/5.072,n/a,n/a,n/a,tile sweep on room,A100,INFORMATIONAL,_drafts/s3_tile_geom.md
C19-1,A100 rasterizer mechanism,Raster mechanism,Occupancy collapse from block=(ts,ts) at ts>16; int/block cliffs; single kernel binary across tile sizes,CONFIRMED causal (REG=40, SHARED=1024 B, STACK=0; same binary for all tile sizes),n/a,Full forward optimal at tile16 (2.55 ms) vs tile32 (3.20 ms = 1.26x slower),n/a,n/a,n/a,tile 8-32 on room,A100 (single binary; all tile sizes),CONFIRMED,_drafts/s3_tile_geom.md
C19-2,Controlled replay (fixed geometry),Raster mechanism,"Fixed 16x16 block geometry replay; varying ints 100 -> 320; ns/int DECREASES; per-int cliff not reproduced; OTHER-CLOSE mechanism",CONFIRMED CAUSAL CONTROL,n/a,rows: no cliff; occupancy collapse is the mechanism,n/a,n/a,n/a,synthetic room controller,A100,CONFIRMED,_drafts/s3_tile_geom.md
C25,C25 sparse backward (Gaussian subset backward),Backward / sparse,"Only k% active Gaussians receive backward; inactive skipped; 0.1% Gaussian set absorbs ~29% of backward cost; ~1.7 ms fixed kernel floor",REPRODUCED on 3 cameras; controlled subset active; gradient agreement within tolerance,REPRODUCED (no measurable quality loss in reproductions),kernel-only: 1% active -> 14-20% potential E2E (fixed floor 1.7 ms),n/a,n/a,14-20% E2E potential,room,both platforms cross-checked,KEEP_CANDIDATE -> feeds C51,_drafts/s5_backward_c25.md
C42,C42 (clustered Gaussian compression / quantization-based?),Raster / compression,"C42: (fill in exact mechanism from digest; hypothesis: non-universal, NOT additive)","REPRODUCED: NOT UNIVERSAL + NOT ADDITIVE across baselines",UNCHANGED,"n/a: no universal additive speedup (see cross_baseline_additivity.json)",n/a,n/a,"no universal E2E gain; baseline-dependent",13 scenes,A100,SPLIT: KEEP per-baseline / DROP as universal,_drafts/s2_c42.md
C43,C43 adaptive tile-masking,Raster / tile adaptivity,"Adaptive tile-size control / tile_mask at runtime; expected: tile16 optimal on A100 for SfM-init workloads",n/a (screened only),n/a,n/a,n/a,n/a,n/a,room (SfM init),A100,DROP,_drafts/s3_tile_geom.md
C49,C49 appearance-utility decoupled backward,Backward / appearance,"U_loss = -g^T dtheta (per Gauss, per param); predict utility from state; skip low-utility appearance (SH) gradients; signed utility correction; 20% Gaussians -> 95% of positive SH utility; 1.13% max E2E","REPRODUCED (top-10% = 82.0% uncorrected / 75.8% corrected); dependency graph published","REPRODUCED","n/a: ceiling 1.13% E2E","n/a","n/a","MAX 1.13% E2E => DROP as independent candidate","room; cross-check on bicycle",A100 + RTX 5070,DROP (candidate folded into C51 methodology),_drafts/s7_c49.md
C51,C51 selective backward training,Backward / training,"Predictor-based selective backward; gate-based subset; B1/B2/B3; constant gates A/B/C/D; K50-B1 optimal","0.1% Gaussians -> ~29% backward cost reproduced; K50-B1 all 4 gates PASS","REPRODUCED: 5K / 30K quality gates PASS (PSNR within 0.1 dB; SSIM/LPIPS within gate)","kernel +10.2% (CUDA microbenchmark)","n/a","5K E2E +6.7%; 30K E2E +7.8%","12 (30K subset: room/bicycle/garden; 5K: 3 scenes)","A100 (historical) / RTX 5070 Laptop,KEEP: C51_SYSTEMS_COMPONENT,_drafts/s5b_c51.md
Candidate-C,"Candidate C: conic-based certification (R3/R3.1/R4)","Certificate / sparse pre-backward","f_G bound: forward-skip certificate; R3 audit = 7,494 violations sampled; R3.1 -> conic-as-color fix; re-audit 0 violations across 90 measurements; 62.5% weighted work at 5% budget; R4 = CUDA implementation","R3: REJECT (7,494 violations); R3.1: RE-AUDIT 0 violations; VEC gate PASS; worst ratio 0.9998 (margin 0.0002)",UNCHANGED (quality after R3.1 repair),"62.5% weighted-work removed at 5% budget (NOT a speedup claim)","n/a","n/a","n/a",room (primary),A100,Final verdict: C_KEEP (all CR1-CR4 pass),_drafts/s8_candidate_c.md
gsat_30k_fused_prune10_rclip05,"fused prune-rclip10 training recipe (gsat_30k)","Training fusion","Fused pruning + radius-clip r=0.5 into (gsat) training; planned 13-scene, 3-seed confirmatory matrix","ALL PRE-REGISTERED GATES PASS (132/132 jobs)","PSNR CI LB -0.022 >= -0.10 dB; SSIM CI LB -0.0011 >= -0.003; LPIPS CI UB +0.0025 <= +0.005","n/a (training-time)","n/a","n/a","WALL 1.164x (CI LB 1.034); TTQ faster","11 scenes x 3 seeds","A100 (gpu0) / RTX 5070 Laptop,KEEP - CONFIRMED flagship result,_drafts/s9_higs.md,paper/higs/tables/confirmatory-accel15-summary.json
